EAN;Produto;Fabricante;Categoria;NCM;CEST;EAN adicional;Fornecedor;Ativo
7808729602061;VINHO CASAS PATRONALES MERLOT 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729602191;VINHO PREMIUM MAUCHO CARIGNAN 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729602559;VINHO CASAS PATRONALES RESERVADO MERLOT 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729602566;VINHO CASAS PATRONALES RESERVADO CARMENERE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729602573;VINHO CASAS PATRONALES RESERVADO C.S. 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729608766;VINHO SECO C.S. V.C. CASAS PATRONALES 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808765713325;VINHO BRANCO S.B. CAMINO DE CHILE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808765760657;VINHO ROSE VUELO 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808765762316;VINHO ROSE VUELO SWEET 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808765766192;VINHO VENTOS DO SUL SUAVE TINTO 750 ML;GENÉRICO;VINHOS;;;;;TRUE
7809625202270;VINHO PASO GRANDE SAUVIGNON BLANC 750ML;GENÉRICO;VINHOS;;;;;TRUE
7809625202720;VINHO ROSE PASO GRANDE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7809625207695;VINHO TINTO SECO ENIGMA MERLOT 750ML;GENÉRICO;VINHOS;;;;;TRUE
7809625208821;VINHO BRANCO CRUZ DE LOS MARES 750ML;GENÉRICO;VINHOS;;;;;TRUE
783094061543;LÂMPADA RAYOVAC 9W;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
783094061545;LÂMPADA RAYOVAC 9WT;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
7848877748853;GELO IMPERIAL 3KG;GENÉRICO;CHURRASCO;;;;;TRUE
786005803714;FILTRO DE CAFE 3 CORAÇÕES 102 C/30 UND;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
788115674896;TOMATE PELADO SANTA TAVOLA 400GR;GENÉRICO;MERCEARIA;;;;;TRUE
78908901;COCA COLA 200ML;GENÉRICO;REFRIGERANTES;;;;;TRUE
7891000005620;SNACKS PARA CÃES DOGUITOS BIFINHO DE CARNE 45G;GENÉRICO;PET;;;;;TRUE
7891000039342;SORVETE NESTLE CLASSIC CHOCOLATE 58G;GENÉRICO;SORVETES;;;;;TRUE
7891000050804;RAÇÃO PURINA ALPO 1KG;GENÉRICO;PET;;;;;TRUE
7891000051436;BOLACHA PASSATEMPO AO LEITE 160G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891000072950;IOGURTE NATURAL NESTLE 180G;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891000090732;NESTON FRUTAS 280ML;GENÉRICO;MERCEARIA;;;;;TRUE
7891000098844;CHOCOLATE NESTLE DIET 25G;GENÉRICO;DOCES;;;;;TRUE
7891000102626;AVEIA FLOCOS FINOS NESTLÉ 170G;GENÉRICO;MASSAS, GRÃOS E FARINHAS;;;;;TRUE
7891000102640;AVEIA FLOCOS NESTLÉ 170G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000110829;FEST NESCAFE 270ML;GENÉRICO;GENERICO;;;;;TRUE
7891000115633;RAÇÃO DOG CHOW SABOR CARNE 100G;GENÉRICO;PET;;;;;TRUE
7891000115657;RAÇÃO DOG CHOW SABOR FRANGO 100G;GENÉRICO;PET;;;;;TRUE
7891000115695;RAÇÃO DOGCHOW FRANGO 100G;GENÉRICO;PET;;;;;TRUE
7891000115763;RAÇÃO FRISKIES SABOR CARNE AO MOLHO 85G;GENÉRICO;PET;;;;;TRUE
7891000115800;RAÇÃO PARA GATOS NESTLÉ FRISKIES 85G;GENÉRICO;PET;;;;;TRUE
7891000118108;SACHE PARA GATOS FRISKIES SABOR SALMÃO 85G;GENÉRICO;PET;;;;;TRUE
7891000119624;SNACK PARA GATOS FRISKIES 40G;GENÉRICO;PET;;;;;TRUE
7891000120071;POTE DE SORVETE NESTLE NAPOLITANO 1,5L;GENÉRICO;SORVETES;;;;;TRUE
7891000120521;POTE DE SORVETE NESTLE FLOCOS 1,5L;GENÉRICO;SORVETES;;;;;TRUE
7891000126905;CREME DE LEITE NESTLÉ 200G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000241356;BOLACHA PASSATEMPO CHOCOLATE 130G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891000241370;PASSATEMPO AO LEITE 130G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891000244135;RAÇÃO PARA CÃES DOGCHOW SABOR CARNE 100G;GENÉRICO;PET;;;;;TRUE
7891000244746;RAÇÃO DOGCHOW CARNE 100G;GENÉRICO;PET;;;;;TRUE
7891000248768;KIT KAT NESTLE 41,5G;GENÉRICO;DOCES;;;;;TRUE
7891000248775;KIT KAT NESTLE 41,5GR;GENÉRICO;DOCES;;;;;TRUE
7891000250174;CALDO MAGGI GALINHA 57G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891000259351;PASSATEMPO CHOCOMIX MORANGO 130G;GENÉRICO;BISCOITOS, PÃES E DOCES;;;;;TRUE
7891000259405;BOLACHA PASSATEMPO CHOCOMIX 130G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891000287330;RAÇÃO PURINA BONZO 1KG;GENÉRICO;PET;;;;;TRUE
7891000289709;BOLACHA NESFIT AVEIA & MEL 160G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891000304556;NESFIT CACAU & CEREAIS 160G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891000304594;BOLACHA NESFIT MORANGO 160G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891000307045;CAFÉ SOLUVEL NESCAFÉ 40G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891000319505;CEREAL MUCILON 180G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000319543;CEREAL MUCILON 180GR;GENÉRICO;MERCEARIA;;;;;TRUE
7891000321706;SNACKS FRISKIES SABOR CARNE 45G;GENÉRICO;PET;;;;;TRUE
7891000325131;CAIXA DE BOMBOM NESTLÉ 251G;GENÉRICO;DOCES;;;;;TRUE
7891000325858;LEITE EM PÓ INTEGRAL NINHO 380G;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891000329665;BARRA DE CHOCOLATE SUFLAIR DUO 80G;GENÉRICO;DOCES;;;;;TRUE
7891000329856;BARRA DE CHOCOLATE SUFLAIR 80G;GENÉRICO;DOCES;;;;;TRUE
7891000340981;LEITE EM PÓ NINHO+ 380G;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891000347263;RAÇÃO PARA CÃES ALPO 1KG;GENÉRICO;PET;;;;;TRUE
7891000357460;CEREAL NESTLÉ SNOW FLAKES 230G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000368626;BARRA DE CHOCOLATE GALAK 80G;GENÉRICO;DOCES;;;;;TRUE
7891000369098;BARRA DE CHOCOLATE NESTLE 80G;GENÉRICO;DOCES;;;;;TRUE
7891000370643;AVEIA FLOCOS FINOS NESTLE 170GR;GENÉRICO;MERCEARIA;;;;;TRUE
7891000370728;AVEIA EM FLOCOS NESTLE 170G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000376843;BONO CHOCOLATE 90G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891000379585;NESCAU 200G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000379691;NESCAU 370GR;GENÉRICO;MERCEARIA;;;;;TRUE
7891000382301;AVEIA NESTLE 170GR;GENÉRICO;MERCEARIA;;;;;TRUE
7891000383421;CAFÉ SOLÚVEL NESCAFÉ DOLCA 40G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891000389225;NESCAFE CAPPUCINO 270ML;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891000389300;NESCAFÉ CHOCOCINO 270ML;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891000393284;LEITE EM PÓ NINHO INTEGRAL 380G;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891000394847;NESCAU 370G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000399590;LEITE EM PÓ NINHO 380G;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
